,District,Latitude,Longitude
1,Nicobars,7.1205,93.7842
2,North and Middle Andaman,12.61123865,92.83165406
3,South Andaman,10.7056905,92.4874679
4,Anantapur,14.31206556,77.46015845
5,Chittoor,13.33109263,78.92763899
6,East Godavari,16.78271832,82.24320747
7,Guntur,15.88492577,80.58657614
8,Krishna,16.14387275,81.14805061
9,Kurnool,15.43759715,77.90086837
10,Prakasam,15.489039,80.1166579
11,S.P.S. Nellore,14.6811118,79.9749535
12,Srikakulam,18.570901,84.25874814
13,Visakhapatnam,17.7231276,83.3012842
14,Vizianagaram,18.28329696,83.45982854
15,West Godavari,16.63297944,81.45912991
16,Y.S.R. Kadapa,14.4752936,78.8216861
17,Anjaw,28.1114301,96.82699963
18,Changlang,27.36048479,96.37552645
19,Upper Dibang Valley,29.01994784,95.98776394
20,East Kameng,27.37119406,93.04741486
21,East Siang,28.15382353,95.06499226
22,Papum Pare,27.27352972,93.54468184
23,Kamle,27.629,84.7645667
24,Kra Daadi,27.96354175,93.76656539
25,Kurung Kumey,28.04853352,93.24531994
26,Lepa Rada,27.9211266,94.7409362
27,Lohit,27.94678527,96.59670771
28,Longding,26.8794546,95.31556525
29,Lower Dibang Valley,28.3265173,95.76567336
30,Lower Siang,27.80069825,94.56502334
31,Lower Subansiri,27.70849297,93.96226108
32,Namsai,27.71403055,96.01597094
33,Pakke Kessang,27.15828555,93.15615024
34,Papum Pare,27.27352972,93.54468184
35,Shi Yomi,28.68516625,94.23678241
36,Siang,28.477492,94.81655729
37,Tawang,27.68068396,91.82504245
38,Tirap,26.9440623,95.41470328
39,Upper Siang,28.83092449,95.00155765
40,Upper Subansiri,28.27719657,93.89914356
41,West Kameng,27.46486582,92.6501575
42,West Siang,28.10629692,94.53510344
43,Baksa,48.2232612,21.0295939
44,Barpeta,26.42787226,90.9791201
45,Biswanath,26.7773957,93.25694367
46,Bongaigaon,26.45012522,90.67342962
47,Cachar,24.81557067,92.8684965
48,Charaideo,27.06971635,95.06426298
49,Chirang,26.6464231,90.62415699
50,Darrang,26.58463216,92.04141338
51,Dhemaji,27.58653344,94.71336909
52,Dhubri,26.01894625,89.94188952
53,Dibrugarh,27.30612284,95.09982823
54,Dima Hasao,25.40036255,93.07522923
55,Goalpara,26.01727778,90.59869892
56,Golaghat,26.37721971,93.82583398
57,Hailakandi,24.45749609,92.59154665
58,Hojai,26.00939085,92.84879014
59,Jorhat,26.76244824,94.30197723
60,Kamrup Metropolitan,26.13526375,91.86167063
61,Kamrup,26.17093945,91.58863274
62,Karbi Anglong,26.08966455,93.1153657
63,Karimganj,24.69660712,92.36794986
64,Kokrajhar,26.49724664,90.13997471
65,Lakhimpur,27.14128806,94.07759493
66,Majuli,27.02195285,94.32742303
67,Morigaon,26.2551844,92.32883055
68,Nagaon,26.26462171,92.93061911
69,Nalbari,26.46323768,91.40598521
70,Sivasagar,26.9834936,94.6394226
71,Sonitpur,26.73514927,92.85197805
72,South Salmara Mankachar,25.7604472,89.89280611
73,Tinsukia,27.53549291,95.69055949
74,Udalguri,26.70472375,92.04215071
75,West Karbi Anglong,25.85291415,92.58756812
76,Araria,26.21152812,87.30766555
77,Arwal,25.18077715,84.65920203
78,Aurangabad,24.77429187,84.45986024
79,Aurangabad,20.09792288,75.32072197
80,Banka,24.83235564,86.86649163
81,Begusarai,25.54302613,86.12560144
82,Bhagalpur,25.27719289,87.04213814
83,Bhojpur,25.50666439,84.49407803
84,Buxar,25.48593019,84.08808082
85,Darbhanga,26.14618772,85.97387352
86,East Champaran,27,84.5
87,Gaya,24.72665415,84.94291218
88,Gopalganj,26.44874364,84.34636127
89,Jamui,24.7841838,86.26316298
90,Jehanabad,25.15567905,84.92081245
91,Kaimur,24.97486435,83.57643905
92,Katihar,25.56565356,87.70466084
93,Khagaria,25.53558891,86.56593256
94,Kishanganj,26.32433676,87.95045007
95,Lakhisarai,25.18344932,86.12825701
96,Madhepura,25.77341929,86.8978444
97,Madhubani,26.41380538,86.1632836
98,Munger,25.19853796,86.54173673
99,Muzaffarpur,26.18664417,85.32745092
100,Nalanda,25.22934551,85.48053114
101,Nawada,24.82570884,85.61594569
102,Patna,25.40297115,85.31984336
103,Purnia,25.81714802,87.40447607
104,Rohtas,24.99170461,83.93507627
105,Saharsa,25.8212707,86.5467082
106,Samastipur,25.79320556,85.94833323
107,Saran,25.89656078,84.82266287
108,Sheikhpura,25.12472437,85.77839391
109,Sheohar,26.45838075,85.29539412
110,Sitamarhi,26.5657007,85.61172491
111,Siwan,26.1736372,84.33766553
112,Supaul,26.28157894,86.78496465
113,Vaishali,25.81347032,85.39247597
114,West Champaran,27,84.5
115,Chandigarh,30.7426,76.75872466
116,Balod,20.73218365,81.14335738
117,Baloda Bazar,21.57264595,82.43670692
118,Balrampur,27.44907654,82.47158326
119,Bastar,19.39386675,81.52895127
120,Bametara,21.714,81.5356
121,Bijapur,16.84015317,75.95909167
122,Bilaspur,22.35694298,81.99770351
123,Bilaspur,31.37804229,76.65316079
124,Dakshin Bastar Dantewada,18.8456,81.3839
125,Dhamtari,20.55491263,81.75691955
126,Durg,21.19446385,81.3318164
127,Gariaband,20.42857015,82.24698985
128,Gaurela Pendra Marwahi,23.0043821,82.0572281
129,Janjgir Champa,21.9671264,82.66472425
130,Jashpur,22.77286168,83.87039621
131,Uttar Bastar Kanker,20.1270026,80.98109349
132,Kabeerdham,21.2514,81.6296
133,Kondagaon,19.5885769,81.6628742
134,Korba,22.4917125,82.57604327
135,Koriya,23.50412777,82.12515636
136,Mahasamund,21.22372704,82.65925427
137,Mungeli,22.0661098,81.6874282
138,Narayanpur,26.96392335,93.82558574
139,Raigarh,22.00826507,83.27797699
140,Raigarh,18.45325764,73.00906094
141,Raipur,20.88603154,82.2003276
142,Rajnandgaon,20.9727404,80.69155548
143,Sukma,18.26654225,81.29252341
144,Surajpur,23.35151515,82.97290273
145,Surguja,23.32719279,83.23582494
146,Dadra and Nagar Haveli,20.21513217,73.09454961
147,Daman,20.43161667,72.83923661
148,Diu,20.7137783,70.9853635
149,Central Delhi,28.69854835,77.21939142
150,East Delhi,28.61976385,77.30955022
151,New Delhi,28.6138954,77.2090057
152,North Delhi,28.6138954,77.2090057
153,North East Delhi,28.72330795,77.26685651
154,North West Delhi,28.6138954,77.2090057
155,Shahdara,28.6733333,77.2890248
156,South Delhi,28.4851694,77.19637972
157,South East Delhi,28.5444411,77.27287302
158,South West Delhi,28.6517178,77.2219388
159,West Delhi,42.2995281,-75.0082191
160,North Goa,15.54872342,73.80667998
161,South Goa,15.19527866,73.9417926
162,Ahmedabad,23.0216238,72.5797068
163,Ahmedabad,23.0216238,72.5797068
164,Amreli,21.04832649,71.43457638
165,Anand,22.28271821,72.57782052
166,Aravalli,47.81886375,-122.2159798
167,Banaskantha,24.172056,72.431134
168,Bharuch,21.75787276,72.67326347
169,Bhavnagar,21.7021939,72.16272633
170,Bhavnagar,21.7021939,72.16272633
171,Botad,22.1686,71.6685
172,Chhota Udaipur,22.3048651,74.0126114
173,Dahod,22.89799225,73.99170613
174,Dang,23.3780516,110.910308
175,Devbhumi Dwarka,22.2471009,68.9742446
176,Gandhinagar,23.19367979,72.6722168
177,Gandhinagar,23.19367979,72.6722168
178,Gir Somnath,20.8907001,70.4025266
179,Jamnagar,22.41060041,69.62062006
180,Jamnagar,22.41060041,69.62062006
181,Junagadh,20.72568199,70.8398564
182,Junagadh,20.92952301,70.5473389
183,Junagadh,20.72568199,70.8398564
184,Junagadh,20.92952301,70.5473389
185,Kheda,22.88765313,73.01880352
186,Kutch,38.910548,-103.8693974
187,Mahisagar,23.1916967,73.6626353
188,Mehsana,34.849107,32.706751
189,Morbi,22.8176662,70.8345928
190,Narmada,21.70666386,73.68403209
191,Navsari,20.86697332,72.8618487
192,Panchmahal,28.6271026,77.31016494
193,Patan,23.80634198,71.75162977
194,Porbandar,21.55092352,69.71896988
195,Rajkot,22.40603378,70.83679439
196,Rajkot,22.40603378,70.83679439
197,Sabarkantha,24.0294885,73.0459884
198,Surat,21.25761373,72.93488716
199,Surat,21.25761373,72.93488716
200,Surendranagar,22.82672007,71.48358741
201,Tapi,21.1787195,75.44245
202,Vadodara,22.26133739,73.4943301
203,Vadodara,22.26133739,73.4943301
204,Valsad,20.44238232,72.91485848
205,Ambala,30.35036723,76.94970311
206,Bhiwani,28.72886806,76.02110226
207,Charkhi Dadri,28.5919933,76.2719817
208,Faridabad,28.1487311,77.32718537
209,Fatehabad,29.57298319,75.54608717
210,Gurugram,28.4646148,77.0299194
211,Hisar,29.23628731,75.84324683
212,Jhajjar,28.59651868,76.61137143
213,Jind,29.45149822,76.29598576
214,Kaithal,29.96068539,76.3769893
215,Karnal,29.70320065,76.87488026
216,Kurukshetra,30.0565266,76.7877468
217,Mahendragarh,28.13521615,76.14018073
218,Nuh,28.09734515,77.05085582
219,Palwal,28.1769589,77.37311204
220,Panchkula,30.70089714,76.97173238
221,Panipat,29.34352134,76.92895915
222,Rewari,28.19164715,76.55956008
223,Rohtak,28.89251765,76.53123235
224,Sirsa,29.63583446,74.9097048
225,Sonipat,29.0033144,77.0167323
226,Yamunanagar,30.2112003,77.28638972
227,Bilaspur,22.35694298,81.99770351
228,Bilaspur,31.37804229,76.65316079
229,Chamba,32.66741815,76.39354063
230,Hamirpur,31.67668481,76.49767089
231,Hamirpur,25.73815838,79.8261948
232,Kangra,32.14093603,76.41205911
233,Kinnaur,31.60667184,78.51613736
234,Kullu,31.90911922,77.40922649
235,Lahaul and Spiti,32.5038495,77.58227188
236,Mandi,31.63580594,76.96556931
237,Shimla,31.15572545,77.62573042
238,Sirmaur,30.68276445,77.4318469
239,Solan,31.03864312,76.94442141
240,Una,31.58330388,76.18353932
241,Anantnag,33.7368773,75.1455138
242,Bandipora,34.49750275,74.69995089
243,Baramulla,34.20500565,74.36221081
244,Budgam,34.04796585,74.74413978
245,Doda,33.35961468,76.0716372
246,Ganderbal,34.2154914,74.7723191
247,Jammu,32.7131991,74.84775204
248,Kathua,32.51781678,75.58901399
249,Kishtwar,33.2761171,75.81692388
250,Kulgam,33.66980055,75.01480232
251,Kupwara,34.6110236,74.23847867
252,Punch,33.79124129,74.29593161
253,Pulwama,33.88414419,75.0092186
254,Rajouri,33.3772495,74.3132332
255,Ramban,33.2116371,75.20509891
256,Reasi,33.06910315,74.83786982
257,Samba,12.7052899,-2.400725142
258,Shopiyan,33.717,74.836
259,Srinagar,34.27312899,75.11021159
260,Udhampur,33.04770671,75.15286951
261,Bokaro,23.6814965,85.98398374
262,Chatra,24.11619946,84.93295805
263,Deoghar,24.33070101,86.75697632
264,Dhanbad,23.85450909,86.40372925
265,Dumka,24.27500613,87.2766245
266,East Singhbhum,22.5,85.5
267,Garhwa,24.08211469,83.68664266
268,Giridih,24.3057851,86.08710916
269,Godda,24.8189,87.29417355
270,Gumla,23.07853295,84.55056787
271,Hazaribagh,23.9675151,85.43884569
272,Jamtara,23.97873318,86.9532508
273,Khunti,23.10018105,85.34545936
274,Koderma,24.55671943,85.71690919
275,Latehar,23.72511186,84.48298743
276,Lohardaga,23.48879604,84.66051691
277,Pakur,24.57260428,87.69691969
278,Palamu,24.19692597,84.20310843
279,Ramgarh,23.59877595,85.53691565
280,Ranchi,23.18423506,85.31781937
281,Sahibganj,24.9366799,87.68264098
282,Saraikela-Kharsawan,22.7464225,85.91689291
283,Simdega,22.60876039,84.59193692
284,West Singhbhum,22.5,85.5
285,Bagalkote,16.1853166,75.6967919
286,Bengaluru Rural,13.18077825,77.34174237
287,Bengaluru Urban,12.94514225,77.553645
288,Bengaluru Urban,12.94514225,77.553645
289,Belagavi,15.8572666,74.5069343
290,Ballari,15.2485413,76.8323648
291,Bidar,17.95036173,77.19459962
292,Chamarajanagara,11.9238058,76.9393558
293,Chikkamagaluru,13.5,75.5
294,Chikkaballapura,13.4358702,77.7312434
295,Chitradurga,14.2910222,76.57821957
296,Dakshina Kannada,12.9324457,74.9813132
297,Davanagere,14.33041459,75.91723841
298,Dharwad,15.34383138,75.13831264
299,Gadag,15.50712826,75.64861303
300,Kalaburagi,17.166667,77.083333
301,Hassan,12.94509875,76.1104955
302,Haveri,14.73758281,75.39612306
303,Kodagu,12.39684468,75.79336596
304,Kolar,13.31279988,78.01376948
305,Koppal,15.65125327,76.16170486
306,Mandya,12.57490181,76.81570099
307,Mysuru,12.3051828,76.6553609
308,Raichur,16.05079535,76.87368606
309,Ramanagara,12.7252766,77.2804797
310,Shivamogga,13.9326093,75.574978
311,Tumakuru,13.3400771,77.1006208
312,Udupi,13.45040423,74.7200999
313,Uttara Kannada,14.72447415,74.64223734
314,Vijayapura,16.666667,75.916667
315,Yadgir,16.7689044,77.1380381
316,Alappuzha,9.542602966,76.38010796
317,Ernakulam,10.0048793,76.26957729
318,Idukki,9.804809639,77.04586642
319,Kannur,11.94152308,75.35209892
320,Kasaragod,12.3331031,75.07768497
321,Kollam,8.929388821,76.63607759
322,Kottayam,9.643701174,76.46059673
323,Kozhikode,11.39292427,75.7115872
324,Malappuram,10.97329876,75.93910776
325,Palakkad,10.7849269,76.49980491
326,Pathanamthitta,9.27845325,76.97405566
327,Thiruvananthapuram,8.537101759,76.88711503
328,Thrissur,10.45893265,76.12321941
329,Wayanad,11.71527746,76.07587007
330,Kargil,33.56599489,76.63675315
331,Leh,34.1642029,77.5848133
332,Lakshadweep,10.8132489,73.68046209
333,Lakshadweep,10.8132489,73.68046209
334,Agar Malwa,23.9342963,76.14523314
335,Alirajpur,22.28593955,74.35468609
336,Anuppur,23.1818422,81.8656
337,Ashoknagar,24.63098846,77.82974494
338,Balaghat,21.80020721,80.42170053
339,Barwani,21.70213571,74.9100472
340,Betul,21.96462632,77.78734282
341,Bhind,26.35951126,78.76183243
342,Bhopal,23.48072614,77.39246623
343,Burhanpur,21.36456725,76.24460479
344,Chhatarpur,24.81363738,79.56449299
345,Chhindwara,22.22796697,78.76413136
346,Damoh,23.76624408,79.47049303
347,Datia,25.9022644,78.63916571
348,Dewas,22.785111,76.46088806
349,Dhar,22.57268172,75.11056207
350,Dindori,22.83738437,81.04332967
351,Guna,24.49043927,77.2235896
352,Gwalior,26.04074442,78.12782433
353,Harda,22.22765978,77.07022572
354,Hoshangabad,22.5952688,78.02168095
355,Indore,22.68026575,75.91338013
356,Jabalpur,23.18525572,79.98328755
357,Jhabua,22.41957802,74.40921617
358,Katni,23.72441623,80.33819666
359,Khandwa,21.9778642,76.56882823
360,Khargone,21.8187743,75.6064577
361,Mandla,22.70348712,80.38600544
362,Mandsaur,24.19278764,75.43588668
363,Morena,26.37313505,77.88447341
364,Narsinghpur,22.95134468,79.00202423
365,Neemuch,24.70311893,75.06608187
366,Panna,24.45132584,80.21133001
367,Raisen,23.29251821,78.16305496
368,Rajgarh,23.78549903,76.66431224
369,Ratlam,23.50356229,75.14895782
370,Rewa,24.86118463,81.57572465
371,Sagar,23.80031871,78.71940358
372,Satna,24.62777622,80.75547049
373,Sehore,22.92971997,77.06780203
374,Seoni,22.33230488,79.66053864
375,Shahdol,23.44859865,81.45968318
376,Shajapur,23.56662032,76.33555181
377,Sheopur,25.78014811,77.16911117
378,Shivpuri,25.37802452,77.74861601
379,Sidhi,24.1754719,82.10537834
380,Singrauli,24.1974432,82.6661453
381,Tikamgarh,25.14099852,78.89357065
382,Ujjain,23.31928886,75.80383718
383,Umaria,23.59601063,80.90879477
384,Vidisha,23.82838308,77.90135076
385,Ahmednagar,19.21759903,74.69220261
386,Akola,20.74631048,77.1212232
387,Amravati,21.16520992,77.67583503
388,Aurangabad,24.77429187,84.45986024
389,Aurangabad,20.09792288,75.32072197
390,Beed,18.9904059,75.7542291
391,Bhandara,21.21179265,80.109502
392,Buldhana,20.583333,76.416667
393,Chandrapur,20.09560909,79.3155638
394,Dhule,21.27401869,74.58719072
395,Gadchiroli,19.75907035,80.16228073
396,Gondia,-0.0891,97.8567
397,Hingoli,19.59525302,77.09239413
398,Jalgaon,20.88289434,75.55140422
399,Jalna,19.98461253,75.98473607
400,Kolhapur,16.44881302,74.12897151
401,Latur,18.34868727,76.75812608
402,Mumbai,19.0759899,72.8773928
403,Nagpur,21.19655686,79.02166176
404,Nanded,19.20931698,77.6829049
405,Nandurbar,21.52317563,74.32638757
406,Nashik,20.26691287,74.03824168
407,Osmanabad,18.19459456,75.99495575
408,Palghar,19.68086385,72.82537343
409,Parbhani,19.31032425,76.70163339
410,Pune,18.51696171,74.12922882
411,Raigad,18.4928092,73.13807095
412,Ratnagiri,17.21019507,73.25725894
413,Sangli,17.15493018,74.70713823
414,Satara,17.6737909,74.18052064
415,Sindhudurg,16.17094805,73.51329008
416,Solapur,17.83735794,75.42394824
417,Thane,19.69876775,72.79882743
418,Wardha,20.80743024,78.57259106
419,Washim,20.28228239,77.25502394
420,Yavatmal,20.04258347,78.05326372
421,Bishnupur,24.50712112,93.8246236
422,Chandel,24.2635813,94.09443844
423,Churachandpur,24.30309719,93.38671506
424,Imphal East,24.85154025,94.00947958
425,Imphal West,24.757326,93.85847858
426,Jiribam,24.6778472,93.15490009
427,Kakching,24.38904015,93.8801324
428,Kamjong,24.8409769,94.52830741
429,Kangpokpi,25.1524326,93.9714932
430,Noney,24.8625867,93.6237454
431,Pherzawl,24.2595653,93.1906004
432,Senapati,25.08465586,94.03366234
433,Tamenglong,24.98312942,93.4945074
434,Tengnoupal,24.31392145,94.23756082
435,Thoubal,24.54539255,93.97959894
436,Ukhrul,25.05900315,94.44129567
437,East Garo Hills,25.82728228,90.64684925
438,East Jaintia Hills,25.25157605,92.48405007
439,East Khasi Hills,25.30376389,91.7592252
440,North Garo Hills,25.8619841,90.70177049
441,Ribhoi,25.8432,91.9856
442,South Garo Hills,25.24056858,90.64560349
443,South West Garo Hills,25.4480527,89.9987853
444,South West Khasi Hills,25.3307221,91.32645014
445,West Garo Hills,25.49528519,90.03709947
446,West Jaintia Hills,25.4425965,92.29882747
447,West Khasi Hills,25.50088993,91.25364542
448,Aizawl,23.90781335,92.85359459
449,Aizawl,23.90781335,92.85359459
450,Champhai,23.54166581,93.24221799
451,Kolasib,24.20200043,92.73470391
452,Lawngtlai,22.36102843,92.66964157
453,Lunglei,23.00771704,92.63512555
454,Mamit,23.73852943,92.43308038
455,Serchhip,23.26386471,92.9141585
456,Saiha,22.35744801,93.02827931
457,Dimapur,25.81417681,93.75074058
458,Kiphire,25.81551155,94.841664
459,Kohima,25.60311429,93.78600658
460,Longleng,26.49031725,94.77214247
461,Mokokchung,26.47891176,94.52242601
462,Mon,26.69207374,95.03072989
463,Peren,25.47907705,93.72563659
464,Phek,25.63272987,94.56814564
465,Tuensang,26.21104453,94.85809881
466,Wokha,26.20261155,94.19908152
467,Zunheboto,26.02817821,94.50026667
468,Angul,21.1207062,84.99839213
469,Balangir,20.7502257,83.2499464
470,Balasore,21.5002888,86.9202627
471,Bargarh,21.3477634,83.65768299
472,Bhadrak,20.95262735,86.81496205
473,Boudh,20.58319074,84.12363307
474,Cuttack,20.40764065,85.77768102
475,Deogarh,21.43146202,84.81452481
476,Dhenkanal,20.79887159,85.53226836
477,Gajapati,19.12108088,84.14015092
478,Ganjam,19.26326176,84.8029771
479,Jagatsinghpur,20.11444318,86.43265259
